"ID","SessionName","ExerciseCode","Exercise","PlannedPattern"
1,"SessionA","Main-A1","Deadlift","Hip Hinge"
2,"SessionA","Main-A2","One-arm Kettlebell Military Press","Vertical Press"
3,"SessionA","Main-B1","Reverse Barbell Lunge","Squat"
4,"SessionA","Main-B2","Parallel Bars Dip","Horizontal Press"
5,"SessionA","SV-C1","Body Leg Curl","Hip Hinge"
6,"SessionA","SV-C2","Barbell Military Press","Vertical Press"
7,"SessionA","SV-D1","Barbell Front Squat","Squat"
8,"SessionA","SV-D2","Ab Roller","Abs"
9,"SessionB","Main-A1","One-Arm Pulldowns","Vertical Pull"
10,"SessionB","Main-A2","T-Bar Rows","Horizontal Pull"
11,"SessionB","Main-B1","Deadlift","Hip Hinge"
12,"SessionB","Main-B2","One-arm Kettlebell Military Press","Vertical Press"
13,"SessionB","SV-C1","Pull-over","Vertical Pull"
14,"SessionB","SV-C2","Renegade Row","Horizontal Pull"
15,"SessionB","SV-D1","Romanian Deadlift","Hip Hinge"
16,"SessionB","SV-D2","Floor Press With Kettlebell","Horizontal Press"
17,"SessionC","Main-A1","Reverse Barbell Lunge","Squat"
18,"SessionC","Main-A2","Parallel Bars Dip","Horizontal Press"
19,"SessionC","Main-B1","One-Arm Pulldowns","Vertical Pull"
20,"SessionC","Main-B2","T-Bar Rows","Horizontal Pull"
21,"SessionC","SV-C1","Barbell Back Squat","Squat"
22,"SessionC","SV-C2","Incline Dumbbell Press","Horizontal Press"
23,"SessionC","SV-D1","Chin-Ups","Vertical Pull"
24,"SessionC","SV-D2","Reverse Rows","Horizontal Pull"
